slug,label,family_slug,metros_posibles,metro_principal,metro_exclusivo,patron_metrico,regularidad_metrica,fuente_metrica,confianza_metrica,requiere_revision_metrica,notas_revision_metrica,definicion
cancion_regular_abCabCcdeeDfF,cancion regular abCabCcdeeDfF,cancion_petrarquista,"[7, 11]",7,False,"[7, 7, 11, 7, 7, 11, 7, 7, 7, 7, 11, 7, 11]",fija,patron_especifico_mayusculas_minusculas,alta,False,,Canción petrarquista (canzone) con el patrón regular de rimas abCabC:cdeeDfF.
copla_real_de_pie_quebrado,copla real De Pie quebrado,copla_real,"[4, 5, 8]",8,False,null,fija_con_variacion,definicion,media,True,Revisar la capa métrica: forma variable o con variantes internas.,"Tirada de estrofas de diez versos que combinan de un modo fijo dos quintillas, normalmente de distinto tipo, pero no es obligatorio. Es característica la pausa tras el quinto verso, a diferencia de la décima espinela, que se da tras el cuarto. Incluyen uno o dos versos de pie quebrado."
decima_espinela,decima espinela,decima,[8],8,True,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",fija,definicion,alta,False,,"Diez octosílabos con rima abbaaccddc. Es característica la pausa tras el cuarto verso (abba:accddc), a diferencia de la copla real, que se da tras el quinto verso."
endecasilabo_suelto_puro,endecasilabo suelto puro,endecasilabo_suelto,[11],11,True,null,fija,definicion,alta,False,,"Los endecasílabos sueltos consisten en series de versos de once sílabas que carecen de rima regular, aunque mantienen la cohesión rítmica a través de la identidad métrica. Incluyen un pareado final, pero jamás intercalan dísticos rimados."
irregular_arte_menor,irregular arte menor,irregular,"[4, 5, 6, 7, 8]",,False,null,indeterminada,definicion,baja,True,Metro indeterminado o categoría residual.,Estrofa irregular compuesta exclusivamente por versos de arte menor.
octava_real_regular,octava real regular,octava_real,[11],11,True,"[11, 11, 11, 11, 11, 11, 11, 11]",fija,definicion,alta,False,,Estrofa formada por ocho endecasílabos con rima ABABABCC.
pareado_hexasilabo,pareado hexasilabo,pareado_de_arte_menor,[6],6,True,"[6, 6]",fija,definicion,alta,False,,Dísticos de hexasílabos.
quintilla_1_ababa,quintilla 1 ababa,quintilla,[8],8,True,"[8, 8, 8, 8, 8]",fija,heredado_de_familia,alta,False,,Quintilla ababa (tipo 1)
redondilla_regular,redondilla regular,redondilla,[8],8,True,"[8, 8, 8, 8]",fija,definicion,alta,False,,La redondilla regular es la estrofa formada por cuatro versos octosílabos con rima abba.
romance,romance,romance,[8],8,True,null,fija,heredado_de_romance,alta,False,,Serie indefinida de versos octosílabos con rima asonante en los pares.
romance_a,romance A,romance,[8],8,True,null,fija,heredado_de_romance,alta,False,,Romance con asonancia -á
romancillo_hexasilabo,romancillo hexasilabo,romancillo,[6],6,True,null,fija,definicion,alta,False,,Serie indefinida de versos hexasílabos con rima asonante en los pares.
sexteto_lira_a1_aBaBcC,sexteto lira A1 aBaBcC,sexteto_lira,"[7, 11]",,False,"[7, 11, 7, 11, 7, 11]",fija,patron_especifico_mayusculas_minusculas,alta,False,,El sexteto-lira regular es el más habitual y sigue el esquema aBaBcC.
silva_de_consonantes_regular,silva De consonantes regular,silva,"[7, 11]",,False,null,regular_por_pareados,definicion,media,True,Revisar la capa métrica: forma variable o con variantes internas.,"La silva de consonantes regular es una serie métrica abierta que combina versos heptasílabos y endecasílabos con rima consonante en forma de pareados estructurados siempre del mismo modo (aAbBcCdDeE, etc.)."
soneto_regular_ABBAABBACDCDCD,soneto regular ABBAABBACDCDCD,soneto,[11],11,True,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",fija,heredado_de_soneto,alta,False,,"Composición poética de catorce versos endecasílabos organizada en dos cuartetos iniciales, que mantienen un orden rígido de rima abrazada (ABBAABBA), seguidos de dos tercetos finales de rima cruzada (CDCDCD)."
terceto_encadenado,terceto encadenado,terceto,[11],11,True,null,fija,definicion,alta,False,,"Estructura métrica continua de endecasílabos donde la rima del segundo verso de cada terceto se retoma en el primero y tercero del siguiente (ABABCBCDC, etc.), creando una secuencia entrelazada que se cierra habitualmente con un serventesio (YZYZ) o un verso suelto. Aunque su forma es regular, admite variaciones excepcionales como la presencia de un verso sin rima o la repetición de un mismo sonido en cuatro ocasiones para enfatizar un pasaje."
cancion_endecasilaba,cancion endecasilaba,cancion_petrarquista,[11],11,True,null,regular_por_estancias,definicion,media,True,Revisar la capa métrica: forma variable o con variantes internas.,"Canción petrarquista formada exclusivamente por endecasílabos, por ejemplo, ABCABCDD."
copla_real_sin_quebrado,copla real Sin quebrado,copla_real,[8],8,True,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",fija,definicion,alta,False,,"Tirada de estrofas de diez versos que combinan de un modo fijo dos quintillas normalmente de distinto tipo. Es característica la pausa tras el quinto verso, a diferencia de la décima espinela, que se da tras el cuarto. Sin versos de pie quebrado."
decima_aumentada,decima aumentada,decima,[8],8,True,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",fija,definicion,alta,False,,Estrofa de 12 versos con el patrón abbaaccddeed. Es característica la pausa tras el cuarto verso (abba:accddeed).
endecasilabo_suelto_puro_sin_distico_final,endecasilabo suelto puro Sin distico final,endecasilabo_suelto,[11],11,True,null,fija,definicion,alta,False,,Tirada de endecasílabos sueltos sin pareados intercalados ni dístico final.
irregular_arte_mayor,irregular arte mayor,irregular,"[9, 10, 11, 12, 13, 14]",,False,null,indeterminada,definicion,baja,True,Metro indeterminado o categoría residual.,Estrofa irregular compuesta exclusivamente por versos de arte mayor.
octava_real_de_esdrujulos,octava real De esdrujulos,octava_real,[11],11,True,"[11, 11, 11, 11, 11, 11, 11, 11]",fija,familia,alta,False,,Octava real rimada total o mayoritariamente con términos esdrújulos.
pareado_octosilabo,pareado octosilabo,pareado_de_arte_menor,[8],8,True,"[8, 8]",fija,definicion,alta,False,,Dísticos de octosílabos.
quintilla_2_abbab,quintilla 2 abbab,quintilla,[8],8,True,"[8, 8, 8, 8, 8]",fija,heredado_de_familia,alta,False,,Quintilla abbab (tipo 2)
redondilla,redondilla,redondilla,[8],8,True,"[8, 8, 8, 8]",fija,familia+uso_metrico,alta,False,,
redondilla_hexasilaba,redondilla hexasilaba,redondilla,[6],6,True,"[6, 6, 6, 6]",fija,definicion,alta,False,,Redondilla formada por cuatro versos hexasílabos con rima abba.
romance_a-a,romance A-a,romance,[8],8,True,null,fija,heredado_de_romance,alta,False,,Romance con asonancia a-a
romancillo_heptasilabo,romancillo heptasilabo,romancillo,[7],7,True,null,fija,definicion,alta,False,,Serie indefinida de versos heptasílabos con rima asonante en los pares.
sexteto_lira_b1_abbacC,sexteto lira B1 abbacC,sexteto_lira,"[7, 11]",7,False,"[7, 7, 7, 7, 7, 11]",fija,patron_especifico_mayusculas_minusculas,alta,False,,Sexteto-lira con rimas en esquema abbacC.
